Project Name,Link,Notes,Subtasks
"UNION","https://dashboard.union.build/","Quest to be claim",""
"Soneium Badge","https://x.com/imcryptohodler/status/1898217370398904334","END in 31st March","badge1-Untitled Bank (10+ tnx) : https://shorturl.at/IBpsw|badge2-Arkada (10 days + Veil Piercer Helmet) : https://app.arkada.gg/?ref=0QMZD|badge3-KYO ($100+ volume, 10+ tx) : https://app.kyo.finance?referral=Jsne24|badge4-UneMeta (30+ interactions) : https://shorturl.at/Cd0Ml|badge5-SoneFi (10+ swap, 10+ perp) : https://sonefi.xyz/#/referrals?ref=thecode|badge6-SONUS (5+ locks, 10+ swaps) : https://sonus.exchange|badge7-QuickSwap (10+ tx) : https://quickswap.exchange|badge8-waves (10+ tx) : https://app.wavex.fi/|badge9-2p2eio (10+ tx + NFT) : https://soneium.2p2e.io/profile?invite=70C8CCC7|badge10-sakefinance (Liquidity + Borrow) : https://app.sakefinance.com/rewards?code=IuaQKpPP_g"
Monad,https://testnet.monad.xyz,"Layer 1 Project Ecosystem","Main Site: https://testnet.monad.xyz | Discord: https://discord.gg/monad | Doc Guide: https://tinyurl.com/ycx2cj7p | Faucet Guide-1: https://x.com/imcryptohodler/status/1892539388590178367 | Faucet Guide-2: https://t.me/Cryptoland007/1717 | Bridge - Alchemy: https://tinyurl.com/2z69fw88 | Bridge - Rinkby: https://tinyurl.com/2vam5ckh | NFTs - MagicEden: https://shorturl.at/15t81 | NFTs - MVHQ: https://app.mvhq.io/missions/monad-farming-vol-1 | DeFi - Curvance: https://monad.curvance.com/leaderboard/referrals?referral=thunder | DeFi - Multipli: https://testnet.multipli.fi?referral_code=MGD4AH | DeFi - LFG: https://pandaria.lfj.gg | DeFi - Ambient: https://monad.ambient.finance | DeFi - Buy 3 Meme Coin: https://tinyurl.com/4td8xdjz | DeFi - Drake (Soon): https://drake.exchange | DeFi - Kuru: https://www.kuru.io/ | DeFi - Dusted: https://www.dusted.app/?referralCode=9PK7D51V | DeFi - LEVR: https://app.levr.bet | DeFi - Kintsu: https://kintsu.xyz | Ha-Ha wallet: https://x.com/imcryptohodler/status/1894104254681350560 | Deploy - Owlto: https://tinyurl.com/3ns5dpuh | Deploy - Thirdweb: https://thirdweb.com/monad-testnet"
"ALLO","https://app.galxe.com/quest/ALLO/GCd4Ntprwj?referral_code=GRFr2JnzJGm-UzMppt0GcO736mlmnP7RK01OMlovrH8R0Yg","complete tasks",""
"Momentum galxe","https://app.galxe.com/quest/Momentum/GCYebtpDVB","Daily check",""
"Eclips","https://app.eclipse.xyz","ecosystem","Guide: https://x.com/imcryptohodler/status/1876179507381772555 | DSCVR Check-in: https://dscvr.one/ | TAP TAP: https://tap.eclipse.xyz/"
"Linera","https://x.com/imcryptohodler/status/1892854320162623841","Layer1 project",""
"OG Airdrop","https://hub.0g.ai/faucet","Claim faucet & Swap",""
"Abstract","https://www.abs.xyz/rewards","Mainnet Quest","Myriad: https://myriad.markets | 77bit: https://bithub.77-bit.com/?referrer=2qdvv| Finalbosu: whitelist.finalbosu.com"
"Sahara Ai","https://legends.saharalabs.ai/?code=B7H0BQ","Check-in & quest","Faucet: https://faucet.saharalabs.ai/"
"Owlto Finance","https://shorturl.at/nKB8h","Daily Check-in",""
"Arch Network","https://dashboard.arch.network?referralCode=f7f41cbf-db16-49ac-8223-1c47f4689597","Daily task","FunkyBit swap: https://testnet.funkybit.fun/ | SaturnBTC mint test-rune: https://www.saturnbtc.io/app/runes/mint"
"Town","https://app.towns.com/t/0x1ecbc0211e6c9020a7d483f6bfb7ebe62136327c/","Rub the belly",""
"ImmutableX","https://play.immutable.com/quests/","Daily Claim",""
"Rhino fi","https://app.rhino.fi/nation","Daily Check-in",""
"CoinGecko","https://www.coingecko.com/en/candy","Claim Candy",""
"Coinmarketcap","https://coinmarketcap.com/account/my-diamonds/","Claim Diamond Daily",""
"Intract","https://quest.intract.io/","Claim Daily",""
"PhotonChain","https://photonchain.io/hyperphotonism-testnet/?ref=f7blqjf8490i9f7h","Quest to be complete",""
"Mind Network","https://dapp.mindnetwork.xyz?code=7FC37","Claim & Stake",""
"Immortal Rising","https://immortalrising2.com/imt-airdrop/daily-checkin","Daily Claim",""
"Humanity","https://testnet.humanity.org/login?ref=thunderbird","Do testnet",""
"Sepolia Faucet","https://docs.metamask.io/developer-tools/faucet/","claim faucet","Others Faucet: https://tinyurl.com/2z69fw88"
"KiteAI","https://testnet.gokite.ai?r=hK2HtVyV","Chat with AI-Collect points",""
"KlokApp- MIRA","https://klokapp.ai?referral_code=TRJE5QSZ","Chat 10Times with Ai",""
"Theoriq","https://quests.theoriq.ai?r=zvkR65Xn","Complete quest",""
"Camp Network","https://loyalty.campnetwork.xyz/loyalty?referral_code=626TIEMR","Daily Quest",""
"Merits","https://eth.blockscout.com?ref=CABPTW","Daily Check-in",""
"All Active Airdrops","https://x.com/imcryptohodler/status/1896249141464047820","Guide",""
